"","chromosome","first.base.of.the.intron","last.base.of.the.intron","strand","intron.motif","is.annotated","number.of.uniquely.mapping.reads.crossing.the.junction","number.of.multi.mapping.reads.crossing.the.junction","maximum.spliced.alignment.overhang","is_in_gtf_junction","filename","pp_id","learning","exp","chr","i.strand","category"
"1",4,9807598,9809023,1,1,1,5,0,36,"True","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"2",4,9807598,9809023,1,1,1,0,5,36,"True","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"3",4,9807598,9809027,1,1,1,277,16,36,"True","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"4",4,9807598,9809027,1,1,1,6,131,36,"True","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"5",4,9807598,9809345,1,1,1,20,3,36,"True","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"6",4,9807598,9809345,1,1,1,2,6,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"7",4,9807598,9809515,1,1,1,0,1,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"unique in 'seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab'"
"8",4,9807598,9809519,1,1,1,0,1,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"unique in 'seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab'"
"9",4,9807598,9809543,1,1,1,22,174,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"10",4,9807598,9809543,1,1,1,2,82,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"11",4,9807598,9809726,1,1,1,247,45,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"12",4,9807598,9809726,1,1,1,4,168,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"13",4,9807598,9811174,1,1,1,0,8,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (not vary much)"
"14",4,9807598,9811174,1,1,1,0,7,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (not vary much)"
"15",4,9807598,9811237,1,1,1,38,228,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
