chromosome	first base of the intron	last base of the intron	strand	intron motif	is annotated	number of uniquely mapping reads crossing the junction	number of multi-mapping reads crossing the junction	maximum spliced alignment overhang	is_in_gtf_junction	filename	pp_id	learning	exp
4	9829345	9829646	1	1	1	94	1	32	True	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9829345	9830002	1	1	1	39	0	32	True	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9829345	9830133	1	1	1	93	0	32	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9829345	9830168	1	1	1	58	0	32	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9829345	9830639	1	1	1	305	0	32	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9829345	9831184	1	1	1	80	0	32	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9829345	9831683	1	1	1	323	0	32	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9829345	9832520	1	1	1	1	0	32	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9829345	9833609	1	1	1	124	1	32	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9829345	9834097	1	1	1	3	0	32	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9829345	9834110	1	1	1	147	0	32	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9829345	9834599	1	1	1	103	0	32	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9829345	9834703	1	1	1	8	0	32	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9829345	9835178	1	1	1	256	0	32	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9829345	9835698	1	1	1	177	0	32	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9829345	9836271	1	1	1	110	1	32	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9829345	9836763	1	1	1	119	0	32	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9829345	9836774	1	1	1	1	0	32	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9829345	9837365	1	1	1	9	0	32	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9829345	9837386	1	1	1	785	0	32	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9829345	9837397	1	1	1	6	0	32	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9829345	9837867	1	1	1	144	0	32	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
